id,video,tournament,round,year,month,day,set,duration,winner,loser,downcourt,db,url
16,Viktor AXELSEN Anthony Sinisuka GINTING DAIHATSU INDONESIA MASTERS 2022 Semifinals,DAIHATSU INDONESIA MASTERS 2022,Semi-finals,2022.0,6.0,11.0,2,48,Viktor AXELSEN,Anthony Sinisuka GINTING,0.0,0.0,https://www.youtube.com/watch?v=Ye8h7LS3k6A
17,CHEN Yu Fei HE Bing Jiao DAIHATSU Indonesia Masters 2022 Semifinals,DAIHATSU INDONESIA MASTERS 2022,Semi-finals,2022.0,6.0,11.0,2,51,CHEN Yufei,HE Bingjiao,0.0,0.0,https://www.youtube.com/watch?v=hU4Z5vAwGrA
18,Wang Zhi Yi He Bing Jiao Indonesia Open 2022 Semi finals,INDONESIA OPEN 2022,Semi-finals,2022.0,6.0,18.0,2,42,WANG Zhi Yi,HE Bingjiao,0.0,0.0,https://www.youtube.com/watch?v=9-Ez3a2XRzk
19,Viktor AXELSEN LEE Zii Jia EAST VENTURES Indonesia Open 2022 Semifinals,INDONESIA OPEN 2022,Semi-finals,2022.0,6.0,18.0,3,70,Viktor AXELSEN,LEE Zii Jia,0.0,0.0,https://www.youtube.com/watch?v=EtNgRzyACDI
20,Kento MOMOTA Kunlavut VITIDSARN Malaysia Open 2022  Semi finals,Malaysia Open 2022,Semi-finals,2022.0,7.0,2.0,2,42,Kento MOMOTA,Kunlavut VITIDSARN,1.0,0.0,https://www.youtube.com/watch?v=A4boA9DUhmA
21,Viktor AXELSEN Jonatan CHRISTIE Malaysia Open 2022 SemiFinals,Malaysia Open 2022,Semi-finals,2022.0,7.0,2.0,3,71,Viktor AXELSEN,Jonatan CHRISTIE,0.0,0.0,https://www.youtube.com/watch?v=-LJAfc98svI
22,Viktor AXELSEN Kento MOMOTA PETRONAS Malaysia Open 2022 Finals,Malaysia Open 2022,Finals,2022.0,7.0,3.0,2,34,Viktor AXELSEN,Kento MOMOTA,0.0,0.0,https://www.youtube.com/watch?v=pQpYiyFMg2c
23,Ratchanok INTANON CHEN Yu Fei PETRONAS Malaysia Open 2022 Finals,Malaysia Open 2022,Finals,2022.0,7.0,3.0,3,65,Ratchanok INTANON,CHEN Yufei,0.0,0.0,https://www.youtube.com/watch?v=4X0a8QREFoI
24,Ratchanok INTANON WANG Zhi Yi Malaysia Open 2022 SemiFinals,Malaysia Open 2022,Semi-finals,2022.0,7.0,2.0,2,38,Ratchanok INTANON,WANG Zhi Yi,0.0,0.0,https://www.youtube.com/watch?v=4vDZ27e0ws0
25,Chico Aura DWI WARDOYO LU Guang Zu PERODUA Malaysia Masters 2022 Semifinals,Malaysia Open 2022,Semi-finals,2022.0,7.0,9.0,3,57,Chico Aura DWI WARDOYO,LU Guang Zu,1.0,0.0,https://www.youtube.com/watch?v=0YHy6RpbNn0
26,Chico Aura DWI WARDOYO NG Ka Long Angus Malaysia Masters 2022 Finals,Malaysia Masters 2022,Finals,2022.0,7.0,10.0,2,45,Chico Aura DWI WARDOYO,NG Ka Long Angus,1.0,0.0,https://www.youtube.com/watch?v=owxx0x4yR7M
27,An Se Young Chen Yu Fei PERODUA Malaysia Masters 2022 Finals,Malaysia Masters 2022,Finals,2022.0,7.0,10.0,2,38,An Se Young,CHEN Yufei,0.0,0.0,https://www.youtube.com/watch?v=uBZx_HX311s
28,AN Se Young Gregoria Mariska TUNJUNG Malaysia Masters 2022 SemiFinals,Malaysia Masters 2022,Semi-finals,2022.0,7.0,9.0,3,57,An Se Young,Gregoria Mariska TUNJUNG,1.0,0.0,https://www.youtube.com/watch?v=6KpzrSmm6SA
29,EAST VENTURES Indonesia Open 2022 Zhao Jun Peng PRANNOY H. S. Semifinals,INDONESIA OPEN 2022,Semi-finals,2022.0,6.0,18.0,2,40,ZHAO Jun Peng,PRANNOY H. S.,1.0,0.0,https://www.youtube.com/watch?v=NfCjzOiCTjk
30,Kunlavut VITIDSARN ZHAO Jun  Peng BWF World Championships 2022 SemiFinals,BWF World Championships 2022,Semi-finals,2022.0,8.0,27.0,2,43,Kunlavut VITIDSARN,ZHAO Jun Peng,0.0,0.0,https://www.youtube.com/watch?v=AumCrKc4L1U
31,Akane YAMAGUCHI AN Se Young BWF World Championships 2022 Semi finals,BWF World Championships 2022,Semi-finals,2022.0,8.0,27.0,2,43,Akane YAMAGUCHI,An Se Young,0.0,0.0,https://www.youtube.com/watch?v=uwI5G78YJ6o
32,Viktor Axelsen Kunlavut Vitidsarn BWF World Championships 2022 Finals,BWF World Championships 2022,Finals,2022.0,8.0,28.0,2,50,Viktor AXELSEN,Kunlavut VITIDSARN,0.0,0.0,https://www.youtube.com/watch?v=c700deh2tCs
33,Akane YAMAGUCHI CHEN Yu Fei BWF World Championships 2022 Finals,BWF World Championships 2022,Finals,2022.0,8.0,28.0,3,68,Akane YAMAGUCHI,CHEN Yufei,1.0,0.0,https://www.youtube.com/watch?v=-1XEQDa27eA
34,Kenta NISHIMOTO Anders ANTONSEN Japan Open 2022 SemiFinals,Japan Open 2022,Semi-finals,2022.0,9.0,3.0,2,69,Kenta NISHIMOTO,Anders ANTONSEN,1.0,0.0,https://www.youtube.com/watch?v=WLqSMbwxgLQ
35,Akane YAMAGUCHI AN Se Young DAIHATSU YONEX Japan Open 2022 Finals,Japan Open 2022,Finals,2022.0,9.0,4.0,2,38,Akane YAMAGUCHI,An Se Young,1.0,0.0,https://www.youtube.com/watch?v=3TN7h0i7mAQ
36,Akane YAMAGUCHI CHEN Yu Fei England Open 2022 Semi finals,YONEX All England Open Badminton Championships 2022,Semi-finals,2022.0,3.0,19.0,2,41,Akane YAMAGUCHI,CHEN Yufei,0.0,0.0,https://www.youtube.com/watch?v=yDpq1BP3o10
37,Busanan ONGBAMRUNGPHAN Supanida KATETHONG India Open 2022 Finals,YONEX-SUNRISE India Open 2022,Finals,2022.0,1.0,16.0,3,76,Busanan ONGBAMRUNGPHAN,Supanida KATETHONG,1.0,0.0,https://www.youtube.com/watch?v=eMDV0kIpyTU
38,Lakshya SEN LEE Zii Jia All England Open 2022 SemiFinals,YONEX All England Open Badminton Championships 2022,Semi-finals,2022.0,3.0,19.0,3,76,Lakshya SEN,LEE Zii Jia,0.0,0.0,https://www.youtube.com/watch?v=hCk_QUZdo_0
39,Jonatan CHRISTIE KIDAMBI Srikanth Korea Open Badminton Championships 2022 SemiFinals,Korea Open Badminton Championships 2022,Semi-finals,2022.0,4.0,9.0,2,49,Jonatan CHRISTIE,KIDAMBI Srikanth,0.0,0.0,https://www.youtube.com/watch?v=XfOTyOJLPJ4
40,Supanida KATETHONG PUSARLA V. Sindhu India Open 2022 SemiFinals,YONEX-SUNRISE India Open 2022,Semi-finals,2022.0,1.0,15.0,3,59,Supanida KATETHONG,PUSARLA V. Sindhu,1.0,0.0,https://www.youtube.com/watch?v=3u_sWFc9Pmw
41,Busanan ONGBAMRUNGPHAN Aakarshi KASHYAP YONEX SUNRISE India Open 2022 Semifinals,YONEX-SUNRISE India Open 2022,Semi-finals,2022.0,1.0,15.0,2,52,Busanan ONGBAMRUNGPHAN,Aakarshi KASHYAP,0.0,0.0,https://www.youtube.com/watch?v=K3pR7B8PbcM
42,Lee Zii Jia Li Shi Feng GR TOYOTA GAZOO RACING Thailand Open 2022 Finals,Thailand Open 2022,Finals,2022.0,5.0,22.0,3,70,LEE Zii Jia,LI Shi Feng,0.0,0.0,https://www.youtube.com/watch?v=pp134m934s8
43,LI Shi Feng Kodai NARAOKAGR Thailand Open 2022 Semi finals,Thailand Open 2022,Semi-finals,2022.0,5.0,21.0,3,93,LI Shi Feng,Kodai NARAOKA,1.0,0.0,https://www.youtube.com/watch?v=pp134m934s8
44,SHI Yu Qi LEE Zii Jia Denmark Open 2022 Final,Denmark Open 2022,Finals,2022.0,10.0,23.0,3,67,SHI Yuqi,LEE Zii Jia,0.0,0.0,https://www.youtube.com/watch?v=HEbfgwOQgRY
45,LEE Zii Jia LIEW Daren Thailand Open 2022 SemiFinals Trim,Thailand Open 2022,Semi-finals,2022.0,5.0,22.0,3,51,LEE Zii Jia,LIEW Daren,0.0,0.0,
46,Lee Zii Jia Loh Kean Yew Denmark Open 2022 Semifinals,Denmark Open 2022,Semi-finals,2022.0,10.0,22.0,2,40,LEE Zii Jia,LOH Kean Yew,1.0,0.0,https://www.youtube.com/watch?v=jaRBm3uc3jU
47,HE Bing Jiao CHEN Yu Fei Denmark Open 2022 Final,Denmark Open 2022,Finals,2022.0,10.0,23.0,3,67,HE Bingjiao,CHEN Yufei,1.0,0.0,https://www.youtube.com/watch?v=1-9iQsVnrHc
48,CHEN Yu Fei Ratchanok INTANON Denmark Open 2022 SemiFinals,Denmark Open 2022,Semi-finals,2022.0,10.0,22.0,3,59,CHEN Yufei,Ratchanok INTANON,0.0,0.0,https://www.youtube.com/watch?v=Da1aS0Kjqro
49,HE Bing Jiao Carolina MARIN French Open 2022 Final,French Open 2022,Finals,2022.0,10.0,30.0,3,76,HE Bingjiao,Carolina MARIN,0.0,0.0,https://www.youtube.com/watch?v=Fen035XwMPw
50,Viktor AXELSEN Rasmus GEMKE French Open 2022  Finals,French Open 2022,Finals,2022.0,10.0,30.0,2,43,Viktor AXELSEN,Rasmus GEMKE,0.0,0.0,https://www.youtube.com/watch?v=FYQCIkw32jw
51,Viktor AXELSEN Kodai NARAOKA YONEX French Open 2022 Semifinals,French Open 2022,Semi-finals,2022.0,10.0,29.0,2,45,Viktor AXELSEN,Kodai NARAOKA,1.0,0.0,https://www.youtube.com/watch?v=CpeAGY7xwtI
52,SHI Yu Qi Kodai NARAOKA Denmark Open 2022 SemiFinals,Denmark Open 2022,Semi-finals,2022.0,10.0,22.0,3,77,SHI Yuqi,Kodai NARAOKA,1.0,0.0,https://www.youtube.com/watch?v=RMPUSOPcACc
53,AN Se Young Pornpawee CHOCHUWONG Korea Open Badminton Championships 2022 Finals,Korea Open Badminton Championships 2022,Finals,2022.0,4.0,10.0,2,52,An Se Young,Pornpawee CHOCHUWONG,1.0,0.0,https://www.youtube.com/watch?v=vQ31Nc27jzM
54,Carolina MARIN Akane YAMAGUCHI French Open 2022 SemiFinals,French Open 2022,Semi-finals,2022.0,10.0,29.0,2,47,Carolina MARIN,Akane YAMAGUCHI,1.0,0.0,https://www.youtube.com/watch?v=QpxcHjF7D3Y
55,Viktor AXELSEN ZHAO Jun Peng Indonesia Open 2022 Final,INDONESIA OPEN 2022,Finals,2022.0,6.0,19.0,2,75,Viktor AXELSEN,ZHAO Jun Peng,0.0,0.0,https://www.youtube.com/watch?v=q-wX5sfFXic
56,Rasmus GEMKE LEE Cheuk Yiu French Open 2022 SemiFinals,French Open 2022,Semi-finals,2022.0,10.0,29.0,2,46,Rasmus GEMKE,LEE Cheuk Yiu,0.0,0.0,
57,CHEN Yu Fei PUSARLA V. Sindhu Thailand Open 2022 SemiFinals,Thailand Open 2022,Semi-finals,2022.0,5.0,21.0,2,43,CHEN Yufei,PUSARLA V. Sindhu,1.0,0.0,https://www.youtube.com/watch?v=T6evDKhWtgI
58,Anthony Sinisuka Ginting Rasmus Gemke YONEX Thailand Open 2021 QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,3,66,Anthony Sinisuka GINTING,Rasmus GEMKE,0,0,https://www.youtube.com/watch?v=NlDrJyQUTSI
